whose data do
||| infrastructure |||
infrastructure ||| cyberinfrastructure
||| cyberinfrastructure vision
cyberinfrastructure vision for
vision for st
for st century
st century discovery
century discovery |||
discovery ||| national
||| national science
national science foundation
science foundation |||
foundation ||| httpwww
||| httpwww |||
httpwww ||| nsf
||| nsf |||
nsf ||| govpubsnsf
||| govpubsnsf |||
govpubsnsf ||| acknowledgements
||| acknowledgements |||
acknowledgements ||| galison
||| galison p
galison p |||
p ||| image
||| image and
image and logic
and logic a
logic a material
a material culture
material culture of
culture of |||
of ||| microphysics
||| microphysics |||
microphysics ||| chicago
||| chicago university
chicago university of
university of chicago
of chicago press
chicago press |||
press ||| cens
||| cens is
cens is funded
is funded by
funded by national
by national science
national science foundation
science foundation cooperative
foundation cooperative |||
cooperative ||| agreement
||| agreement ccr
agreement ccr deborah
ccr deborah l
deborah l |||
l ||| estrin
||| estrin ucla
estrin ucla principal
ucla principal |||
principal ||| investigator
||| investigator christine
investigator christine l
christine l |||
l ||| borgman
||| borgman is
borgman is a
is a coprincipal
a coprincipal investigator
coprincipal investigator |||
investigator ||| censei
||| censei under
censei under which
under which much
which much of
much of this
of this research
this research was
research was conducted
was conducted is
conducted is |||
is ||| funded
||| funded by
funded by national
by national science
national science foundation
science foundation grant
foundation grant esi
grant esi |||
esi ||| william
||| william a
william a |||
a ||| sandoval
||| sandoval principal
sandoval principal investigator
principal investigator and
investigator and christine
and christine l
christine l |||
l ||| borgman
||| borgman coprincipal
borgman coprincipal investigator
coprincipal investigator |||
investigator ||| alberto
||| alberto pepes
alberto pepes participation
pepes participation |||
participation ||| in
||| in this
in this research
this research is
research is supported
is supported by
supported by a
by a gift
a gift from
gift from the
from the microsoft
the microsoft |||
microsoft ||| technical
||| technical computing
technical computing initiative
computing initiative |||
initiative ||| development
||| development support
development support for
support for the
for the |||
the ||| censdc
||| censdc provided
censdc provided by
provided by margo
by margo reveil
margo reveil christina
reveil christina patterson
christina patterson and
patterson and |||
and ||| andrew
||| andrew tai
andrew tai of
tai of ucla
of ucla academic
ucla academic technology
academic technology services
technology services |||
services ||| references
||| references |||
references ||| arzberger
||| arzberger p
arzberger p |||
p ||| sensors
||| sensors for
sensors for environmental
for environmental observatories
environmental observatories |||
observatories ||| report
||| report of
report of the
of the nsf
the nsf sponsored
nsf sponsored workshop
sponsored workshop december
workshop december |||
december ||| wtec
||| wtec baltimore
wtec baltimore md
baltimore md |||
md ||| httpwww
||| httpwww |||
httpwww ||| wtec
||| wtec |||
wtec ||| orgseofinal
||| orgseofinal |||
orgseofinal ||| arzberger
||| arzberger p
arzberger p |||
p ||| schroeder
||| schroeder p
schroeder p |||
p ||| et
||| et al
et al |||
al ||| an
||| an international
an international |||
international ||| framework
||| framework to
framework to promote
to promote access
promote access to
access to data
to data |||
data ||| science
||| science |||
science ||| atkins
||| atkins d
atkins d |||
d ||| et
||| et al
et al |||
al ||| national
||| national science
national science foundation
science foundation blueribbon
foundation blueribbon advisory
blueribbon advisory panel
advisory panel on
panel on cyberinfrastructure
on cyberinfrastructure |||
cyberinfrastructure ||| revolutionizing
||| revolutionizing science
revolutionizing science and
science and engineering
and engineering through
engineering through cyberinfrastructure
through cyberinfrastructure |||
cyberinfrastructure ||| httpwww
||| httpwww |||
httpwww ||| communitytechnology
||| communitytechnology |||
communitytechnology ||| orgnsfcireport
||| orgnsfcireport |||
orgnsfcireport ||| birnholtz
||| birnholtz j
birnholtz j |||
j ||| p
||| p |||
p ||| and
||| and bietz
and bietz m
bietz m |||
m ||| j
||| j |||
j ||| data
||| data at
data at work
at work |||
work ||| supporting
||| supporting sharing
supporting sharing in
sharing in science
in science and
science and engineering
and engineering |||
engineering ||| in
||| in m
in m |||
m ||| tremaine
||| tremaine ed
tremaine ed |||
ed ||| group
||| group |||
group ||| proceedings
||| proceedings of
proceedings of the
of the |||
the ||| international
||| international acm
international acm siggroup
acm siggroup conference
siggroup conference on
conference on supporting
on supporting |||
supporting ||| group
||| group work
group work november
work november to
november to |||
to ||| acm
||| acm press
acm press pp
press pp |||
pp ||| borgman
||| borgman c
borgman c |||
c ||| l
||| l |||
l ||| scholarship
||| scholarship in
scholarship in the
in the digital
the digital age
digital age |||
age ||| information
||| information infrastructure
information infrastructure and
infrastructure and the
and the internet
the internet |||
internet ||| cambridge
||| cambridge |||
cambridge ||| ma
||| ma mit
ma mit press
mit press |||
press ||| borgman
||| borgman c
borgman c |||
c ||| l
||| l |||
l ||| wallis
||| wallis j
wallis j |||
j ||| c
||| c |||
c ||| mayernik
||| mayernik m
mayernik m |||
m ||| and
||| and pepe
and pepe a
pepe a |||
a ||| drowning
||| drowning in
drowning in data
in data digital
data digital library
digital library architecture
library architecture to
architecture to |||
to ||| support
||| support scientists
support scientists use
scientists use of
use of embedded
of embedded sensor
embedded sensor networks
sensor networks |||
networks ||| jcdl
||| jcdl proceedings
jcdl proceedings of
proceedings of the
of the th
the th acmieeecs
th acmieeecs joint
acmieeecs joint |||
joint ||| conference
||| conference on
conference on digital
on digital libraries
digital libraries vancouver
libraries vancouver bc
vancouver bc |||
bc ||| association
||| association for
association for computing
for computing machinery
computing machinery |||
machinery ||| ecological
||| ecological metadata
ecological metadata language
metadata language |||
language ||| httpknb
||| httpknb |||
httpknb ||| ecoinformatics
||| ecoinformatics |||
ecoinformatics ||| orgsoftwareeml
||| orgsoftwareeml |||
orgsoftwareeml ||| freeman
||| freeman p
freeman p |||
p ||| a
||| a |||
a ||| crawford
||| crawford d
crawford d |||
d ||| l
||| l |||
l ||| kim
||| kim s
kim s |||
s ||| and
||| and munoz
and munoz j
munoz j |||
j ||| l
||| l |||
l ||| cyberinfrastructure
||| cyberinfrastructure for
cyberinfrastructure for science
for science and
science and engineering
and engineering |||
engineering ||| promises
||| promises and
promises and challenges
and challenges |||
challenges ||| proceedings
||| proceedings of
proceedings of the
of the ieee
the ieee |||
ieee ||| glaser
||| glaser b
glaser b |||
b ||| g
||| g |||
g ||| and
||| and strauss
and strauss a
strauss a |||
a ||| l
||| l |||
l ||| the
||| the discovery
the discovery of
discovery of |||
of ||| grounded
||| grounded theory
grounded theory strategies
theory strategies for
strategies for qualitative
for qualitative research
qualitative research |||
research ||| observations
||| observations |||
observations ||| chicago
||| chicago aldine
chicago aldine pub
aldine pub |||
pub ||| co
||| co |||
co ||| x
||| x |||
x ||| karasti
||| karasti h
karasti h |||
h ||| baker
||| baker k
baker k |||
k ||| and
||| and halkola
and halkola e
halkola e |||
e ||| enriching
||| enriching the
enriching the |||
the ||| notion
||| notion of
notion of data
of data curation
data curation in
curation in escience
in escience data
escience data managing
data managing and
managing and |||
and ||| information
||| information infrastructuring
information infrastructuring in
infrastructuring in the
in the long
the long term
long term ecological
term ecological |||
ecological ||| research
||| research lter
research lter network
lter network |||
network ||| journal
||| journal of
journal of computer
of computer supported
computer supported |||
supported ||| cooperative
||| cooperative work
cooperative work |||
work ||| knowledge
||| knowledge network
knowledge network for
network for biocomplexity
for biocomplexity |||
biocomplexity ||| httpknb
||| httpknb |||
httpknb ||| ecoinformatics
||| ecoinformatics |||
ecoinformatics ||| orgindex
||| orgindex |||
orgindex ||| jsp
||| jsp |||
jsp ||| lofland
||| lofland j
lofland j |||
j ||| et
||| et al
et al |||
al ||| analyzing
||| analyzing social
analyzing social settings
social settings a
settings a guide
a guide |||
guide ||| to
||| to qualitative
to qualitative observation
qualitative observation and
observation and analysis
and analysis |||
analysis ||| belmont
||| belmont ca
belmont ca |||
ca ||| wadsworththomson
||| wadsworththomson learning
wadsworththomson learning |||
learning ||| longlived
||| longlived digital
longlived digital data
digital data collections
data collections enabling
collections enabling research
enabling research and
research and |||
and ||| education
||| education in
education in the
in the st
the st century
st century |||
century ||| national
||| national science
national science |||
science ||| board
||| board |||
board ||| httpwww
||| httpwww |||
httpwww ||| nsf
||| nsf |||
nsf ||| govnsbdocumentsllddcreport
||| govnsbdocumentsllddcreport |||
govnsbdocumentsllddcreport ||| pdf
||| pdf |||
pdf ||| ni
||| ni k
ni k |||
k ||| et
||| et al
et al |||
al ||| in
||| in review
in review |||
review ||| sensor
||| sensor network
sensor network data
network data fault
data fault types
fault types |||
types ||| pepe
||| pepe a
pepe a |||
a ||| borgman
||| borgman c
borgman c |||
c ||| l
||| l |||
l ||| wallis
||| wallis j
wallis j |||
j ||| c
||| c |||
c ||| and
||| and mayernik
and mayernik m
mayernik m |||
m ||| s
||| s |||
s ||| knitting
||| knitting a
knitting a fabric
a fabric of
fabric of sensor
of sensor data
sensor data resources
data resources |||
resources ||| acmieee
||| acmieee |||
acmieee ||| information
||| information processing
information processing in
processing in sensor
in sensor networks
sensor networks workshop
networks workshop on
workshop on |||
on ||| data
||| data sharing
data sharing interoperability
sharing interoperability cambridge
interoperability cambridge ma
cambridge ma |||
ma ||| protein
||| protein data
protein data bank
data bank |||
bank ||| httpwww
||| httpwww |||
httpwww ||| rcsb
||| rcsb |||
rcsb ||| orgpdb
||| orgpdb |||
orgpdb ||| traweek
||| traweek s
traweek s |||
s ||| beamtimes
||| beamtimes and
beamtimes and lifetimes
and lifetimes the
lifetimes the world
the world of
world of |||
of ||| high
||| high energy
high energy physicists
energy physicists st
physicists st harvard
st harvard university
harvard university press
university press pbk
press pbk |||
pbk ||| ed
||| ed |||
ed ||| cambridge
||| cambridge mass
cambridge mass |||
mass ||| harvard
||| harvard university
harvard university press
university press |||
press ||| vast
||| vast |||
vast ||| introduction
||| introduction to
introduction to sensorml
to sensorml |||
sensorml ||| httpvast
||| httpvast |||
httpvast ||| uah
||| uah |||
uah ||| edusensorml
||| edusensorml |||
edusensorml ||| wallis
||| wallis j
wallis j |||
j ||| c
||| c |||
c ||| borgman
||| borgman c
borgman c |||
c ||| l
||| l |||
l ||| mayernik
||| mayernik m
mayernik m |||
m ||| pepe
||| pepe a
pepe a |||
a ||| ramanathan
||| ramanathan n
ramanathan n |||
n ||| and
||| and hansen
and hansen m
hansen m |||
m ||| know
||| know thy
know thy sensor
thy sensor |||
sensor ||| trust
||| trust data
trust data quality
data quality and
quality and data
and data integrity
data integrity in
integrity in scientific
in scientific digital
scientific digital |||
digital ||| libraries
||| libraries |||
libraries ||| th
||| th european
th european conference
european conference on
conference on digital
on digital libraries
digital libraries |||
libraries ||| budapest
||| budapest hungary
budapest hungary |||
hungary ||| berlin
||| berlin springer
berlin springer |||
springer ||| lincs
||| lincs |||
lincs ||| bowker
||| bowker g
bowker g |||
g ||| c
||| c |||
c ||| a
||| a |||
a ||| biodiversity
||| biodiversity datadiversity
biodiversity datadiversity |||
datadiversity ||| social
||| social |||
social ||| studies
||| studies of
studies of science
of science |||
science ||| wallis
||| wallis j
wallis j |||
j ||| c
||| c |||
c ||| borgman
||| borgman c
borgman c |||
c ||| l
||| l |||
l ||| mayernik
||| mayernik m
mayernik m |||
m ||| and
||| and pepe
and pepe a
pepe a |||
a ||| moving
||| moving archival
moving archival practices
archival practices upstream
practices upstream an
upstream an exploration
an exploration |||
exploration ||| of
||| of the
of the life
the life cycle
life cycle of
cycle of ecological
of ecological sensing
ecological sensing data
sensing data in
data in |||
in ||| collaborative
||| collaborative field
collaborative field research
field research |||
research ||| rd
||| rd international
rd international digital
international digital |||
digital ||| curation
||| curation conference
curation conference washington
conference washington d
washington d |||
d ||| c
||| c |||
c ||| bowker
||| bowker g
bowker g |||
g ||| c
||| c |||
c ||| b
||| b |||
b ||| mapping
||| mapping biodiversity
mapping biodiversity |||
biodiversity ||| international
||| international |||
international ||| journal
||| journal of
journal of geographical
of geographical information
geographical information science
information science |||
science ||| zimmerman
||| zimmerman a
zimmerman a |||
a ||| not
||| not by
not by metadata
by metadata alone
metadata alone the
alone the use
the use of
use of |||
of ||| diverse
||| diverse forms
diverse forms of
forms of knowledge
of knowledge to
knowledge to locate
to locate data
locate data for
data for reuse
for reuse |||
reuse ||| international
||| international journal
international journal of
journal of digital
of digital libraries
digital libraries |||
libraries ||| bowker
||| bowker g
bowker g |||
g ||| c
||| c |||
c ||| c
||| c |||
c ||| work
||| work and
work and information
and information practices
information practices in
practices in the
in the |||
the ||| sciences
||| sciences of
sciences of biodiversity
of biodiversity |||
biodiversity ||| vldb
||| vldb proceedings
vldb proceedings of
proceedings of th
of th |||
th ||| international
||| international conference
international conference on
conference on very
on very large
very large data
large data bases
data bases cairo
bases cairo |||
cairo ||| egypt
||| egypt |||
egypt ||| kaufmann
||| kaufmann |||
kaufmann ||| 
|||  
